Departamento,Municipio,CODIGO DANE,ARMAS MEDIOS,FECHA HECHO,CANTIDAD
PUTUMAYO,MOCOA (CT),86001000,ARTEFACTO EXPLOSIVO/CARGA DINAMITA,05/01/2010,1
ARAUCA,TAME,81794000,ARTEFACTO INCENDIARIO,06/01/2010,1
META,VILLAVICENCIO (CT),50001000,GRANADA DE MANO,06/01/2010,1
ARAUCA,FORTUL,81300000,CILINDRO BOMBA,07/01/2010,1
META,URIBE,50370000,MINA ANTIPERSONA,11/01/2010,1
PUTUMAYO,MOCOA (CT),86001000,COMBUSTIBLE,13/01/2010,1
META,PUERTO RICO,50590000,MINA ANTIPERSONA,14/01/2010,1
VALLE,BUENAVENTURA,76109000,OLLA BOMBA,14/01/2010,1
ARAUCA,ARAUQUITA,81065000,ARTEFACTO EXPLOSIVO/CARGA DINAMITA,15/01/2010,1
META,URIBE,50370000,GRANADA DE MANO,15/01/2010,1
GUAJIRA,BARRANCAS,44078000,ARTEFACTO EXPLOSIVO/CARGA DINAMITA,17/01/2010,1
ANTIOQUIA,MEDELLÍN (CT),5001000,GRANADA DE MANO,18/01/2010,1
TOLIMA,IBAGUÉ (CT),73001000,ARTEFACTO EXPLOSIVO/CARGA DINAMITA,18/01/2010,1
META,GRANADA,50313000,GRANADA DE MANO,19/01/2010,1
META,MESETAS,50330000,GRANADA DE MANO,19/01/2010,1
ANTIOQUIA,URRAO,5847000,ARTEFACTO INCENDIARIO,20/01/2010,1
HUILA,NEIVA (CT),41001000,GRANADA DE MANO,20/01/2010,1
VALLE,BUENAVENTURA,76109000,PAQUETE BOMBA,20/01/2010,1
ARAUCA,SARAVENA,81736000,ARTEFACTO EXPLOSIVO/CARGA DINAMITA,21/01/2010,1
CAUCA,SANTANDER DE QUILICHAO,19698000,PAQUETE BOMBA,21/01/2010,1
PUTUMAYO,PUERTO ASÍS,86568000,GRANADA DE MANO,22/01/2010,1
ANTIOQUIA,GUADALUPE,5315000,ARTEFACTO EXPLOSIVO/CARGA DINAMITA,25/01/2010,1
ANTIOQUIA,CAUCASIA,5154000,GRANADA DE MANO,28/01/2010,1
SANTANDER,ONZAGA,68502000,-,31/01/2010,1
ANTIOQUIA,MEDELLÍN (CT),5001000,GRANADA DE MANO,02/02/2010,1
HUILA,PITALITO,41551000,ARTEFACTO INCENDIARIO,02/02/2010,1
ANTIOQUIA,CAUCASIA,5154000,GRANADA DE MANO,05/02/2010,1
META,URIBE,50370000,GRANADA DE MANO,06/02/2010,1
NARIÑO,SAMANIEGO,52678000,ARTEFACTO EXPLOSIVO/CARGA DINAMITA,07/02/2010,1
META,URIBE,50370000,MINA ANTIPERSONA,09/02/2010,1
ANTIOQUIA,BELLO,5088000,GRANADA DE MANO,10/02/2010,1
HUILA,NEIVA (CT),41001000,GRANADA DE MANO,11/02/2010,1
ARAUCA,ARAUQUITA,81065000,COMBUSTIBLE,12/02/2010,1
GUAVIARE,SAN JOSÉ DEL GUAVIARE (CT),95001000,-,13/02/2010,1
GUAVIARE,SAN JOSÉ DEL GUAVIARE (CT),95001000,GRANADA DE MANO,14/02/2010,1
HUILA,VILLAVIEJA,41872000,ARTEFACTO EXPLOSIVO/CARGA DINAMITA,14/02/2010,1
SANTANDER,SABANA DE TORRES,68655000,ARTEFACTO EXPLOSIVO/CARGA DINAMITA,14/02/2010,1
ARAUCA,ARAUCA (CT),81001000,GRANADA DE MANO,18/02/2010,1
TOLIMA,IBAGUÉ (CT),73001000,ARTEFACTO EXPLOSIVO/CARGA DINAMITA,22/02/2010,1
VALLE,CALI (CT),76001000,PETARDO PLANFETARIO,22/02/2010,2
GUAJIRA,VILLANUEVA,44874000,GRANADA DE MANO,24/02/2010,1
CAUCA,PURACÉ,19585000,CILINDRO BOMBA,25/02/2010,1
HUILA,NEIVA (CT),41001000,GRANADA DE MANO,25/02/2010,1
NORTE DE SANTANDER,SARDINATA,54720000,ARTEFACTO INCENDIARIO,28/02/2010,1
NORTE DE SANTANDER,TIBÚ,54810000,ARTEFACTO INCENDIARIO,28/02/2010,1
HUILA,NEIVA (CT),41001000,ARTEFACTO EXPLOSIVO/CARGA DINAMITA,02/03/2010,1
TOLIMA,CHAPARRAL,73168000,PAQUETE BOMBA,05/03/2010,1
ANTIOQUIA,GUADALUPE,5315000,ARTEFACTO EXPLOSIVO/CARGA DINAMITA,06/03/2010,1
ARAUCA,SARAVENA,81736000,GRANADA DE MANO,06/03/2010,1
CAUCA,SANTANDER DE QUILICHAO,19698000,ARTEFACTO EXPLOSIVO/CARGA DINAMITA,06/03/2010,1
CASANARE,TÁMARA,85400000,COMBUSTIBLE,07/03/2010,1
PUTUMAYO,PUERTO GUZMÁN,86571000,ARTEFACTO EXPLOSIVO/CARGA DINAMITA,07/03/2010,1
META,VISTAHERMOSA,50711000,MINA ANTIPERSONA,10/03/2010,1
TOLIMA,IBAGUÉ (CT),73001000,PAQUETE BOMBA,10/03/2010,1
ANTIOQUIA,CAUCASIA,5154000,GRANADA DE MANO,11/03/2010,1
NORTE DE SANTANDER,EL TARRA,54250000,ARTEFACTO EXPLOSIVO/CARGA DINAMITA,11/03/2010,1
ARAUCA,CRAVO NORTE,81220000,ARTEFACTO EXPLOSIVO/CARGA DINAMITA,13/03/2010,1
TOLIMA,ROVIRA,73624000,ARTEFACTO INCENDIARIO,13/03/2010,1
VALLE,DAGUA,76233000,COMBUSTIBLE,22/03/2010,1
ARAUCA,TAME,81794000,COMBUSTIBLE,24/03/2010,1
VALLE,BUENAVENTURA,76109000,CARRO BOMBA,24/03/2010,1
CÓRDOBA,MONTELÍBANO,23466000,GRANADA DE MANO,25/03/2010,1
NARIÑO,EL CHARCO,52250000,PERSONA BOMBA,25/03/2010,1
RISARALDA,PEREIRA (CT),66001000,ARTEFACTO EXPLOSIVO/CARGA DINAMITA,25/03/2010,1
BOYACÁ,SOCOTÁ,15755000,COMBUSTIBLE,28/03/2010,1
HUILA,NEIVA (CT),41001000,GRANADA DE MANO,28/03/2010,1
META,VILLAVICENCIO (CT),50001000,ROCKET,29/03/2010,1
ANTIOQUIA,CAUCASIA,5154000,GRANADA DE MANO,31/03/2010,1
VALLE,FLORIDA,76275000,ARTEFACTO INCENDIARIO,03/04/2010,1
ARAUCA,TAME,81794000,ARTEFACTO INCENDIARIO,04/04/2010,1
GUAJIRA,RIOHACHA (CT),44001000,GRANADA DE MANO,04/04/2010,1
NORTE DE SANTANDER,CONVENCIÓN,54206000,MINA ANTIPERSONA,04/04/2010,1
NORTE DE SANTANDER,HACARÍ,54344000,MINA ANTIPERSONA,04/04/2010,1
ANTIOQUIA,CAUCASIA,5154000,GRANADA DE MANO,05/04/2010,1
META,EL CASTILLO,50251000,ARTEFACTO EXPLOSIVO/CARGA DINAMITA,08/04/2010,1
TOLIMA,LÍBANO,73411000,ARTEFACTO EXPLOSIVO/CARGA DINAMITA,08/04/2010,1
MAGDALENA,CIÉNAGA,47189000,GRANADA DE MANO,09/04/2010,1
TOLIMA,IBAGUÉ (CT),73001000,ARTEFACTO EXPLOSIVO/CARGA DINAMITA,09/04/2010,1
VALLE,FLORIDA,76275000,ARTEFACTO INCENDIARIO,09/04/2010,1
ANTIOQUIA,MEDELLÍN (CT),5001000,ARTEFACTO EXPLOSIVO/CARGA DINAMITA,12/04/2010,1
TOLIMA,CHAPARRAL,73168000,ARTEFACTO EXPLOSIVO/CARGA DINAMITA,12/04/2010,1
PUTUMAYO,PUERTO GUZMÁN,86571000,-,13/04/2010,1
HUILA,NEIVA (CT),41001000,GRANADA DE MANO,16/04/2010,1
ANTIOQUIA,MEDELLÍN (CT),5001000,GRANADA DE MANO,17/04/2010,1
TOLIMA,CHAPARRAL,73168000,ARTEFACTO EXPLOSIVO/CARGA DINAMITA,18/04/2010,1
CALDAS,MANIZALES (CT),17001000,GRANADA DE MANO,19/04/2010,1
TOLIMA,CHAPARRAL,73168000,ARTEFACTO EXPLOSIVO/CARGA DINAMITA,20/04/2010,1
NARIÑO,PASTO (CT),52001000,GRANADA DE MANO,21/04/2010,1
META,PUERTO LLERAS,50577000,ARTEFACTO INCENDIARIO,22/04/2010,1
META,VISTAHERMOSA,50711000,MINA ANTIPERSONA,22/04/2010,1
NORTE DE SANTANDER,TEORAMA,54800000,ARTEFACTO EXPLOSIVO/CARGA DINAMITA,25/04/2010,1
ANTIOQUIA,TARAZÁ,5790000,ARTEFACTO EXPLOSIVO/CARGA DINAMITA,26/04/2010,1
CAUCA,CORINTO,19212000,ARTEFACTO EXPLOSIVO/CARGA DINAMITA,26/04/2010,1
CAUCA,GUAPI,19318000,ARTEFACTO EXPLOSIVO/CARGA DINAMITA,02/05/2010,1
NORTE DE SANTANDER,TIBÚ,54810000,ARTEFACTO INCENDIARIO,02/05/2010,1
TOLIMA,IBAGUÉ (CT),73001000,PAQUETE BOMBA,02/05/2010,1
CÓRDOBA,LA APARTADA,23350000,GRANADA DE MANO,05/05/2010,1
GUAJIRA,DIBULLA,44090000,GRANADA DE MANO,05/05/2010,1
ANTIOQUIA,TARAZÁ,5790000,MINA ANTIPERSONA,08/05/2010,1
HUILA,NEIVA (CT),41001000,GRANADA DE MANO,08/05/2010,1
ARAUCA,ARAUQUITA,81065000,ARTEFACTO INCENDIARIO,09/05/2010,1
CAQUETÁ,EL PAUJIL,18256000,COMBUSTIBLE,09/05/2010,1
ARAUCA,SARAVENA,81736000,BICICLETA BOMBA,10/05/2010,1
ANTIOQUIA,SAN ANDRÉS DE CUERQUÍA,5647000,ARTEFACTO INCENDIARIO,12/05/2010,1
TOLIMA,IBAGUÉ (CT),73001000,ARTEFACTO EXPLOSIVO/CARGA DINAMITA,15/05/2010,1
ANTIOQUIA,TOLEDO,5819000,ARTEFACTO EXPLOSIVO/CARGA DINAMITA,17/05/2010,1
CHOCÓ,TADÓ,27787000,GRANADA DE MANO,17/05/2010,1
META,VISTAHERMOSA,50711000,MINA ANTIPERSONA,17/05/2010,1
ANTIOQUIA,CAUCASIA,5154000,GRANADA DE MANO,18/05/2010,1
META,VISTAHERMOSA,50711000,MINA ANTIPERSONA,19/05/2010,1
ANTIOQUIA,CAUCASIA,5154000,GRANADA DE MANO,20/05/2010,1
META,VISTAHERMOSA,50711000,MINA ANTIPERSONA,20/05/2010,1
CÓRDOBA,TIERRALTA,23807000,GRANADA DE MANO,21/05/2010,1
